Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
0	-0	0	0	1	0.724	0	0.73	0.8	0.061
1	0	0.212	0	1	0.724	0	0.73	0.8	0.007
2	0	0.12	0	1	0.724	0	0.73	0.8	0.006
3	-0	0.051	0	1	0.724	0	0.73	0.8	0.006
4	-0	0.063	0	1	0.724	0	0.73	0.8	0.007
5	0	0.076	0	1	0.724	0	0.73	0.8	0.005
6	0	0.082	0	1	0.724	0	0.73	0.8	0.005
7	0	0.086	0	1	0.724	0	0.73	0.8	0.007
8	-0	0.087	0	1	0.724	0	0.73	0.8	0.011
9	-0	0.088	0	1	0.724	0	0.73	0.8	0.015
10	0	0.089	0	1	0.724	0	0.73	0.8	0.007
11	-0	0.089	0	1	0.724	0	0.73	0.8	0.006
12	-0	0.089	0	1	0.724	0	0.73	0.8	0.007
13	0	0.089	0	1	0.724	0	0.73	0.8	0.007
14	-0	0.089	0	1	0.724	0	0.73	0.8	0.008
15	0	0.089	0	1	0.724	0	0.73	0.8	0.006
16	0	0.089	0	1	0.724	0	0.73	0.8	0.008
17	0	0.089	0	1	0.724	0	0.73	0.8	0.006
18	0	0.089	0	1	0.724	0	0.73	0.8	0.007
19	-0	0.089	0	1	0.724	0	0.73	0.8	0.007
20	0	0.089	0	1	0.724	0	0.73	0.8	0.007
0	0.108	0.792	0	1	0.724	0.1	0.73	0.8	0.005
1	0.028	0.173	0	1	0.724	0.1	0.73	0.8	0.005
2	-0.019	0.07	0	1	0.724	0.1	0.73	0.8	0.005
3	-0.017	0.045	0	1	0.724	0.1	0.73	0.8	0.006
4	-0.009	0.068	0	1	0.724	0.1	0.73	0.8	0.005
5	-0.004	0.083	0	1	0.724	0.1	0.73	0.8	0.006
6	-0.003	0.09	0	1	0.724	0.1	0.73	0.8	0.006
7	-0.002	0.093	0	1	0.724	0.1	0.73	0.8	0.005
8	-0.002	0.095	0	1	0.724	0.1	0.73	0.8	0.006
9	-0.002	0.095	0	1	0.724	0.1	0.73	0.8	0.005
10	-0.002	0.096	0	1	0.724	0.1	0.73	0.8	0.004
11	-0.002	0.096	0	1	0.724	0.1	0.73	0.8	0.006
12	-0.002	0.096	0	1	0.724	0.1	0.73	0.8	0.005
13	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.004
14	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.006
15	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.006
16	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.006
17	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.006
18	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.005
19	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.007
20	-0.001	0.096	0	1	0.724	0.1	0.73	0.8	0.005
0	0.258	0.941	0	1	0.724	0.2	0.73	0.8	0.005
1	0.032	0.099	0	1	0.724	0.2	0.73	0.8	0.005
2	-0.044	0.04	0	1	0.724	0.2	0.73	0.8	0.005
3	-0.026	0.057	0	1	0.724	0.2	0.73	0.8	0.005
4	-0.009	0.083	0	1	0.724	0.2	0.73	0.8	0.004
5	-0.002	0.096	0	1	0.724	0.2	0.73	0.8	0.004
6	0	0.101	0	1	0.724	0.2	0.73	0.8	0.004
7	0.001	0.103	0	1	0.724	0.2	0.73	0.8	0.004
8	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
9	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
10	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
11	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
12	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
13	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.007
14	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
15	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
16	0.001	0.104	0	1	0.724	0.2	0.73	0.8	0.006
17	0.001	0.105	0	1	0.724	0.2	0.73	0.8	0.007
18	0.001	0.105	0	1	0.724	0.2	0.73	0.8	0.005
19	0.001	0.105	0	1	0.724	0.2	0.73	0.8	0.007
20	0.001	0.105	0	1	0.724	0.2	0.73	0.8	0.007
0	0.379	0.922	0	1	0.724	0.3	0.73	0.8	0.005
1	0.012	0.026	0	1	0.724	0.3	0.73	0.8	0.005
2	-0.055	0.042	0	1	0.724	0.3	0.73	0.8	0.005
3	-0.019	0.084	0	1	0.724	0.3	0.73	0.8	0.005
4	0.001	0.102	0	1	0.724	0.3	0.73	0.8	0.005
5	0.006	0.11	0	1	0.724	0.3	0.73	0.8	0.004
6	0.007	0.111	0	1	0.724	0.3	0.73	0.8	0.007
7	0.007	0.112	0	1	0.724	0.3	0.73	0.8	0.005
8	0.007	0.112	0	1	0.724	0.3	0.73	0.8	0.005
9	0.006	0.112	0	1	0.724	0.3	0.73	0.8	0.005
10	0.006	0.112	0	1	0.724	0.3	0.73	0.8	0.006
11	0.006	0.112	0	1	0.724	0.3	0.73	0.8	0.006
12	0.006	0.112	0	1	0.724	0.3	0.73	0.8	0.005
13	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.006
14	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.006
15	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.004
16	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.006
17	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.006
18	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.005
19	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.006
20	0.006	0.111	0	1	0.724	0.3	0.73	0.8	0.005
0	0.48	0.877	0	1	0.724	0.4	0.73	0.8	0.005
1	-0.005	-0.007	0	1	0.724	0.4	0.73	0.8	0.005
2	-0.038	0.068	0	1	0.724	0.4	0.73	0.8	0.004
3	0.002	0.113	0	1	0.724	0.4	0.73	0.8	0.005
4	0.014	0.117	0	1	0.724	0.4	0.73	0.8	0.004
5	0.015	0.118	0	1	0.724	0.4	0.73	0.8	0.004
6	0.013	0.117	0	1	0.724	0.4	0.73	0.8	0.005
7	0.011	0.116	0	1	0.724	0.4	0.73	0.8	0.004
8	0.01	0.115	0	1	0.724	0.4	0.73	0.8	0.006
9	0.01	0.115	0	1	0.724	0.4	0.73	0.8	0.006
10	0.01	0.115	0	1	0.724	0.4	0.73	0.8	0.005
11	0.009	0.115	0	1	0.724	0.4	0.73	0.8	0.006
12	0.009	0.115	0	1	0.724	0.4	0.73	0.8	0.006
13	0.009	0.115	0	1	0.724	0.4	0.73	0.8	0.005
14	0.009	0.115	0	1	0.724	0.4	0.73	0.8	0.006
15	0.009	0.115	0	1	0.724	0.4	0.73	0.8	0.006
16	0.009	0.115	0	1	0.724	0.4	0.73	0.8	0.005
17	0.009	0.114	0	1	0.724	0.4	0.73	0.8	0.006
18	0.009	0.114	0	1	0.724	0.4	0.73	0.8	0.007
19	0.009	0.114	0	1	0.724	0.4	0.73	0.8	0.006
20	0.009	0.114	0	1	0.724	0.4	0.73	0.8	0.006
0	0.565	0.825	0	1	0.724	0.5	0.73	0.8	0.004
1	0.015	0.019	0	1	0.724	0.5	0.73	0.8	0.004
2	0.002	0.097	0	1	0.724	0.5	0.73	0.8	0.004
3	0.021	0.133	0	1	0.724	0.5	0.73	0.8	0.004
4	0.02	0.121	0	1	0.724	0.5	0.73	0.8	0.006
5	0.015	0.118	0	1	0.724	0.5	0.73	0.8	0.005
6	0.012	0.115	0	1	0.724	0.5	0.73	0.8	0.005
7	0.01	0.114	0	1	0.724	0.5	0.73	0.8	0.005
8	0.009	0.114	0	1	0.724	0.5	0.73	0.8	0.006
9	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.006
10	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.005
11	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.006
12	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.004
13	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.004
14	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.004
15	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.005
16	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.006
17	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.006
18	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.007
19	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.007
20	0.008	0.113	0	1	0.724	0.5	0.73	0.8	0.007
0	0.635	0.773	0	1	0.724	0.6	0.73	0.8	0.004
1	0.092	0.097	0	1	0.724	0.6	0.73	0.8	0.006
2	0.045	0.112	0	1	0.724	0.6	0.73	0.8	0.005
3	0.024	0.135	0	1	0.724	0.6	0.73	0.8	0.005
4	0.012	0.114	0	1	0.724	0.6	0.73	0.8	0.004
5	0.006	0.11	0	1	0.724	0.6	0.73	0.8	0.004
6	0.004	0.109	0	1	0.724	0.6	0.73	0.8	0.004
7	0.002	0.108	0	1	0.724	0.6	0.73	0.8	0.006
8	0.002	0.108	0	1	0.724	0.6	0.73	0.8	0.006
9	0.002	0.108	0	1	0.724	0.6	0.73	0.8	0.005
10	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.004
11	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.005
12	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.005
13	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.006
14	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.005
15	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.006
16	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.005
17	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.006
18	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.007
19	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.007
20	0.001	0.108	0	1	0.724	0.6	0.73	0.8	0.007
0	0.692	0.722	0	1	0.724	0.7	0.73	0.8	0.004
1	0.222	0.199	0	1	0.724	0.7	0.73	0.8	0.005
2	0.064	0.1	0	1	0.724	0.7	0.73	0.8	0.005
3	0.004	0.122	0	1	0.724	0.7	0.73	0.8	0.005
4	-0.007	0.102	0	1	0.724	0.7	0.73	0.8	0.004
5	-0.008	0.101	0	1	0.724	0.7	0.73	0.8	0.005
6	-0.008	0.101	0	1	0.724	0.7	0.73	0.8	0.004
7	-0.007	0.102	0	1	0.724	0.7	0.73	0.8	0.005
8	-0.007	0.102	0	1	0.724	0.7	0.73	0.8	0.004
9	-0.007	0.102	0	1	0.724	0.7	0.73	0.8	0.004
10	-0.007	0.102	0	1	0.724	0.7	0.73	0.8	0.005
11	-0.007	0.102	0	1	0.724	0.7	0.73	0.8	0.005
12	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.006
13	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.006
14	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.004
15	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.004
16	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.006
17	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.006
18	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.007
19	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.007
20	-0.006	0.102	0	1	0.724	0.7	0.73	0.8	0.007
0	0.739	0.674	0	1	0.724	0.8	0.73	0.8	0.005
1	0.374	0.295	0	1	0.724	0.8	0.73	0.8	0.005
2	0.051	0.07	0	1	0.724	0.8	0.73	0.8	0.005
3	-0.029	0.102	0	1	0.724	0.8	0.73	0.8	0.005
4	-0.027	0.092	0	1	0.724	0.8	0.73	0.8	0.005
5	-0.02	0.094	0	1	0.724	0.8	0.73	0.8	0.005
6	-0.016	0.096	0	1	0.724	0.8	0.73	0.8	0.005
7	-0.013	0.098	0	1	0.724	0.8	0.73	0.8	0.005
8	-0.012	0.098	0	1	0.724	0.8	0.73	0.8	0.006
9	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.004
10	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
11	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
12	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.006
13	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
14	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
15	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.006
16	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
17	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
18	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.005
19	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.006
20	-0.011	0.099	0	1	0.724	0.8	0.73	0.8	0.007
0	0.777	0.63	0	1	0.724	0.9	0.73	0.8	0.006
1	0.516	0.361	0	1	0.724	0.9	0.73	0.8	0.004
2	0.021	0.038	0	1	0.724	0.9	0.73	0.8	0.004
3	-0.054	0.087	0	1	0.724	0.9	0.73	0.8	0.004
4	-0.035	0.089	0	1	0.724	0.9	0.73	0.8	0.006
5	-0.021	0.093	0	1	0.724	0.9	0.73	0.8	0.005
6	-0.015	0.096	0	1	0.724	0.9	0.73	0.8	0.004
7	-0.012	0.097	0	1	0.724	0.9	0.73	0.8	0.004
8	-0.011	0.098	0	1	0.724	0.9	0.73	0.8	0.004
9	-0.01	0.098	0	1	0.724	0.9	0.73	0.8	0.004
10	-0.01	0.098	0	1	0.724	0.9	0.73	0.8	0.006
11	-0.009	0.099	0	1	0.724	0.9	0.73	0.8	0.005
12	-0.009	0.099	0	1	0.724	0.9	0.73	0.8	0.006
13	-0.009	0.099	0	1	0.724	0.9	0.73	0.8	0.006
14	-0.009	0.099	0	1	0.724	0.9	0.73	0.8	0.004
