Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11
0	-0	0	0	2	0.707	0	0.95	0.3	1	0.02
1	0	-0.149	0	2	0.707	0	0.95	0.3	1	0.013
2	-0	-0.229	0	2	0.707	0	0.95	0.3	1	0.013
3	-0	-0.151	0	2	0.707	0	0.95	0.3	1	0.015
4	0	-0.111	0	2	0.707	0	0.95	0.3	1	0.017
5	-0	-0.099	0	2	0.707	0	0.95	0.3	1	0.02
6	-0	-0.095	0	2	0.707	0	0.95	0.3	1	0.02
7	-0	-0.093	0	2	0.707	0	0.95	0.3	1	0.028
8	-0	-0.091	0	2	0.707	0	0.95	0.3	1	0.029
9	0	-0.091	0	2	0.707	0	0.95	0.3	1	0.031
10	0	-0.09	0	2	0.707	0	0.95	0.3	1	0.039
11	0	-0.09	0	2	0.707	0	0.95	0.3	1	0.056
12	0	-0.09	0	2	0.707	0	0.95	0.3	1	0.072
13	-0	-0.09	0	2	0.707	0	0.95	0.3	1	0.098
14	0	-0.09	0	2	0.707	0	0.95	0.3	1	0.152
15	-0	-0.09	0	2	0.707	0	0.95	0.3	1	0.168
16	-0	-0.09	0	2	0.707	0	0.95	0.3	1	0.261
17	0	-0.09	0	2	0.707	0	0.95	0.3	1	0.323
18	-0	-0.09	0	2	0.707	0	0.95	0.3	1	0.36
19	-0	-0.09	0	2	0.707	0	0.95	0.3	1	0.611
20	-0	-0.09	0	2	0.707	0	0.95	0.3	1	0.667
0	0.072	0.683	0	2	0.707	0.1	0.95	0.3	1	0.014
1	-0.017	-0.148	0	2	0.707	0.1	0.95	0.3	1	0.01
2	-0.031	-0.226	0	2	0.707	0.1	0.95	0.3	1	0.013
3	-0.025	-0.144	0	2	0.707	0.1	0.95	0.3	1	0.012
4	-0.022	-0.105	0	2	0.707	0.1	0.95	0.3	1	0.012
5	-0.021	-0.094	0	2	0.707	0.1	0.95	0.3	1	0.012
6	-0.021	-0.091	0	2	0.707	0.1	0.95	0.3	1	0.014
7	-0.021	-0.089	0	2	0.707	0.1	0.95	0.3	1	0.017
8	-0.02	-0.088	0	2	0.707	0.1	0.95	0.3	1	0.024
9	-0.02	-0.087	0	2	0.707	0.1	0.95	0.3	1	0.027
10	-0.02	-0.087	0	2	0.707	0.1	0.95	0.3	1	0.037
11	-0.02	-0.086	0	2	0.707	0.1	0.95	0.3	1	0.05
12	-0.02	-0.086	0	2	0.707	0.1	0.95	0.3	1	0.072
