Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11	Var1_12
0	-0	0	0	3	0.707	0	1.28	0.6	1.1	0.9	0.023
1	-0	-0.286	0	3	0.707	0	1.28	0.6	1.1	0.9	0.025
2	0	-0.231	0	3	0.707	0	1.28	0.6	1.1	0.9	0.025
3	0	-0.176	0	3	0.707	0	1.28	0.6	1.1	0.9	0.038
4	-0	-0.155	0	3	0.707	0	1.28	0.6	1.1	0.9	0.058
5	0	-0.145	0	3	0.707	0	1.28	0.6	1.1	0.9	0.146
6	0	-0.14	0	3	0.707	0	1.28	0.6	1.1	0.9	0.395
7	-0	-0.135	0	3	0.707	0	1.28	0.6	1.1	0.9	1.011
8	-0	-0.132	0	3	0.707	0	1.28	0.6	1.1	0.9	2.633
9	0	-0.13	0	3	0.707	0	1.28	0.6	1.1	0.9	6.142
10	-0	-0.129	0	3	0.707	0	1.28	0.6	1.1	0.9	13.244
11	0	-0.128	0	3	0.707	0	1.28	0.6	1.1	0.9	27.167
12	0	-0.128	0	3	0.707	0	1.28	0.6	1.1	0.9	53.692
13	0	-0.128	0	3	0.707	0	1.28	0.6	1.1	0.9	96.576
14	0	-0.128	0	3	0.707	0	1.28	0.6	1.1	0.9	178.553
15	0	-0.128	0	3	0.707	0	1.28	0.6	1.1	0.9	334.488
16	0	-0.128	0	3	0.707	0	1.28	0.6	1.1	0.9	533.946
0	0.294	0.94	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.029
1	-0.097	-0.28	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.025
2	-0.083	-0.21	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.026
3	-0.072	-0.164	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.032
4	-0.069	-0.143	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.058
5	-0.07	-0.135	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.157
6	-0.071	-0.131	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.454
7	-0.072	-0.127	0	3	0.707	0.4	1.28	0.6	1.1	0.9	0.961
8	-0.073	-0.124	0	3	0.707	0.4	1.28	0.6	1.1	0.9	2.614
9	-0.073	-0.122	0	3	0.707	0.4	1.28	0.6	1.1	0.9	6.351
10	-0.072	-0.121	0	3	0.707	0.4	1.28	0.6	1.1	0.9	13.12
11	-0.072	-0.12	0	3	0.707	0.4	1.28	0.6	1.1	0.9	27.166
12	-0.072	-0.12	0	3	0.707	0.4	1.28	0.6	1.1	0.9	53.782
13	-0.072	-0.12	0	3	0.707	0.4	1.28	0.6	1.1	0.9	95.555
14	-0.072	-0.12	0	3	0.707	0.4	1.28	0.6	1.1	0.9	174.58
15	-0.072	-0.12	0	3	0.707	0.4	1.28	0.6	1.1	0.9	332.742
16	-0.072	-0.12	0	3	0.707	0.4	1.28	0.6	1.1	0.9	532.074
0	0.53	0.848	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.031
1	-0.191	-0.275	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.025
2	-0.154	-0.195	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.026
3	-0.136	-0.153	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.033
4	-0.13	-0.133	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.063
5	-0.131	-0.125	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.16
6	-0.135	-0.122	0	3	0.707	0.8	1.28	0.6	1.1	0.9	0.423
7	-0.138	-0.119	0	3	0.707	0.8	1.28	0.6	1.1	0.9	1.022
8	-0.139	-0.116	0	3	0.707	0.8	1.28	0.6	1.1	0.9	2.398
9	-0.14	-0.114	0	3	0.707	0.8	1.28	0.6	1.1	0.9	5.885
10	-0.14	-0.113	0	3	0.707	0.8	1.28	0.6	1.1	0.9	12.974
11	-0.139	-0.113	0	3	0.707	0.8	1.28	0.6	1.1	0.9	26.269
12	-0.139	-0.113	0	3	0.707	0.8	1.28	0.6	1.1	0.9	49.592
13	-0.139	-0.112	0	3	0.707	0.8	1.28	0.6	1.1	0.9	88.049
14	-0.139	-0.112	0	3	0.707	0.8	1.28	0.6	1.1	0.9	163.612
15	-0.139	-0.112	0	3	0.707	0.8	1.28	0.6	1.1	0.9	318.269
16	-0.139	-0.112	0	3	0.707	0.8	1.28	0.6	1.1	0.9	533.51
0	0.684	0.73	0	3	0.707	1.2	1.28	0.6	1.1	0.9	0.052
1	-0.268	-0.258	0	3	0.707	1.2	1.28	0.6	1.1	0.9	0.033
2	-0.214	-0.181	0	3	0.707	1.2	1.28	0.6	1.1	0.9	0.034
3	-0.19	-0.142	0	3	0.707	1.2	1.28	0.6	1.1	0.9	0.04
