Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11	Var1_12	Var1_13
0	-0	0	0	4	0.708	0	1.37	0.7	1	1	1	0.049
1	-0	-0.347	0	4	0.708	0	1.37	0.7	1	1	1	0.052
2	0	-0.261	0	4	0.708	0	1.37	0.7	1	1	1	0.057
3	0	-0.191	0	4	0.708	0	1.37	0.7	1	1	1	0.286
4	-0	-0.16	0	4	0.708	0	1.37	0.7	1	1	1	1.852
5	0	-0.146	0	4	0.708	0	1.37	0.7	1	1	1	11.983
6	-0	-0.138	0	4	0.708	0	1.37	0.7	1	1	1	66.246
7	-0	-0.133	0	4	0.708	0	1.37	0.7	1	1	1	327.664
8	-0	-0.131	0	4	0.708	0	1.37	0.7	1	1	1	1318.694
0	0.118	0.812	0	4	0.708	0.2	1.37	0.7	1	1	1	0.047
1	-0.056	-0.347	0	4	0.708	0.2	1.37	0.7	1	1	1	0.051
2	-0.045	-0.255	0	4	0.708	0.2	1.37	0.7	1	1	1	0.079
3	-0.036	-0.187	0	4	0.708	0.2	1.37	0.7	1	1	1	0.306
4	-0.033	-0.157	0	4	0.708	0.2	1.37	0.7	1	1	1	1.988
5	-0.032	-0.143	0	4	0.708	0.2	1.37	0.7	1	1	1	12.259
6	-0.031	-0.135	0	4	0.708	0.2	1.37	0.7	1	1	1	66.349
7	-0.032	-0.131	0	4	0.708	0.2	1.37	0.7	1	1	1	327.955
8	-0.032	-0.129	0	4	0.708	0.2	1.37	0.7	1	1	1	1347.917
0	0.34	0.932	0	4	0.708	0.5	1.37	0.7	1	1	1	0.042
1	-0.14	-0.349	0	4	0.708	0.5	1.37	0.7	1	1	1	0.041
2	-0.108	-0.245	0	4	0.708	0.5	1.37	0.7	1	1	1	0.057
3	-0.087	-0.18	0	4	0.708	0.5	1.37	0.7	1	1	1	0.283
4	-0.079	-0.152	0	4	0.708	0.5	1.37	0.7	1	1	1	1.882
5	-0.077	-0.139	0	4	0.708	0.5	1.37	0.7	1	1	1	12.557
6	-0.077	-0.131	0	4	0.708	0.5	1.37	0.7	1	1	1	69.284
7	-0.077	-0.127	0	4	0.708	0.5	1.37	0.7	1	1	1	338.64
8	-0.078	-0.125	0	4	0.708	0.5	1.37	0.7	1	1	1	1356.716
0	0.454	0.889	0	4	0.708	0.7	1.37	0.7	1	1	1	0.042
1	-0.196	-0.349	0	4	0.708	0.7	1.37	0.7	1	1	1	0.043
2	-0.147	-0.239	0	4	0.708	0.7	1.37	0.7	1	1	1	0.07
3	-0.119	-0.176	0	4	0.708	0.7	1.37	0.7	1	1	1	0.284
4	-0.109	-0.149	0	4	0.708	0.7	1.37	0.7	1	1	1	2.091
5	-0.106	-0.136	0	4	0.708	0.7	1.37	0.7	1	1	1	12.868
6	-0.106	-0.129	0	4	0.708	0.7	1.37	0.7	1	1	1	70.56
7	-0.106	-0.125	0	4	0.708	0.7	1.37	0.7	1	1	1	341.863
8	-0.108	-0.123	0	4	0.708	0.7	1.37	0.7	1	1	1	1356.548
0	0.504	0.863	0	4	0.708	0.8	1.37	0.7	1	1	1	0.041
1	-0.223	-0.348	0	4	0.708	0.8	1.37	0.7	1	1	1	0.046
2	-0.166	-0.235	0	4	0.708	0.8	1.37	0.7	1	1	1	0.056
3	-0.134	-0.174	0	4	0.708	0.8	1.37	0.7	1	1	1	0.299
4	-0.123	-0.147	0	4	0.708	0.8	1.37	0.7	1	1	1	1.847
5	-0.12	-0.135	0	4	0.708	0.8	1.37	0.7	1	1	1	12.432
6	-0.12	-0.128	0	4	0.708	0.8	1.37	0.7	1	1	1	68.158
7	-0.121	-0.124	0	4	0.708	0.8	1.37	0.7	1	1	1	337.393
8	-0.122	-0.122	0	4	0.708	0.8	1.37	0.7	1	1	1	1361.962
0	0.589	0.808	0	4	0.708	1	1.37	0.7	1	1	1	0.041
1	-0.276	-0.345	0	4	0.708	1	1.37	0.7	1	1	1	0.049
2	-0.202	-0.229	0	4	0.708	1	1.37	0.7	1	1	1	0.054
3	-0.164	-0.17	0	4	0.708	1	1.37	0.7	1	1	1	0.291
4	-0.151	-0.144	0	4	0.708	1	1.37	0.7	1	1	1	1.853
5	-0.147	-0.132	0	4	0.708	1	1.37	0.7	1	1	1	12.444
6	-0.147	-0.125	0	4	0.708	1	1.37	0.7	1	1	1	70.74
7	-0.149	-0.121	0	4	0.708	1	1.37	0.7	1	1	1	339.332
