Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11	Var1_12	Var1_13	Var1_14
0	-0	0	0	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.054
1	0	-0.443	0	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.073
2	-0	-0.323	0	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.298
3	0	-0.226	0	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	8.525
4	-0	-0.178	0	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	163.334
5	0	-0.152	0	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	2156.732
0	0.096	0.758	0	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.046
1	-0.061	-0.442	0	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.05
2	-0.048	-0.319	0	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.287
3	-0.036	-0.223	0	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	7.982
4	-0.03	-0.176	0	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	162.75
5	-0.028	-0.15	0	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	2170.629
0	0.169	0.888	0	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.071
1	-0.091	-0.441	0	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.053
2	-0.071	-0.316	0	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.291
3	-0.053	-0.222	0	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	8.419
4	-0.045	-0.175	0	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	159.802
5	-0.041	-0.149	0	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	2164.819
0	0.353	0.929	0	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.048
1	-0.182	-0.441	0	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.059
2	-0.138	-0.309	0	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.293
3	-0.105	-0.217	0	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	8.214
4	-0.089	-0.171	0	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	161.688
5	-0.081	-0.146	0	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	2165.118
0	0.495	0.868	0	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.058
1	-0.272	-0.438	0	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.062
2	-0.202	-0.301	0	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.287
3	-0.153	-0.212	0	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	8.116
4	-0.13	-0.168	0	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	161.482
5	-0.119	-0.143	0	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	2179.369
