Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
10	1.222	3	0.71	-0.1	-0.1	1	1	1	2.595
10	1.305	3	0.71	-0.08	-0.1	1	1	1	2.478
10	1.434	3	0.71	-0.06	-0.1	1	1	1	2.421
10	1.627	3	0.71	-0.04	-0.1	1	1	1	2.435
10	1.87	3	0.71	-0.02	-0.1	1	1	1	2.385
10	2.006	3	0.71	0	-0.1	1	1	1	2.49
10	1.87	3	0.71	0.02	-0.1	1	1	1	2.475
10	1.627	3	0.71	0.04	-0.1	1	1	1	2.442
10	1.434	3	0.71	0.06	-0.1	1	1	1	2.474
10	1.306	3	0.71	0.08	-0.1	1	1	1	2.464
10	1.223	3	0.71	0.1	-0.1	1	1	1	2.517
10	1.168	3	0.71	0.12	-0.1	1	1	1	2.458
10	1.133	3	0.71	0.14	-0.1	1	1	1	2.538
10	1.115	3	0.71	0.16	-0.1	1	1	1	2.441
10	1.341	3	0.71	0.18	-0.1	1	1	1	2.488
10	1.094	3	0.71	0.2	-0.1	1	1	1	2.457
10	1.276	3	0.71	0.22	-0.1	1	1	1	2.563
10	1.061	3	0.71	0.24	-0.1	1	1	1	2.407
10	1.049	3	0.71	0.26	-0.1	1	1	1	2.458
10	1.105	3	0.71	0.28	-0.1	1	1	1	2.469
10	1.04	3	0.71	0.3	-0.1	1	1	1	2.396
10	1.035	3	0.71	0.32	-0.1	1	1	1	2.43
10	1.032	3	0.71	0.34	-0.1	1	1	1	2.521
10	1.03	3	0.71	0.36	-0.1	1	1	1	2.294
10	1.035	3	0.71	0.38	-0.1	1	1	1	2.477
10	1.03	3	0.71	0.4	-0.1	1	1	1	2.414
10	1.083	3	0.71	0.42	-0.1	1	1	1	2.358
10	1.041	3	0.71	0.44	-0.1	1	1	1	2.478
10	1.067	3	0.71	0.46	-0.1	1	1	1	2.428
10	1.341	3	0.71	0.48	-0.1	1	1	1	2.533
10	1.154	3	0.71	0.5	-0.1	1	1	1	2.447
10	1.465	3	0.71	0.52	-0.1	1	1	1	2.444
10	1.111	3	0.71	0.54	-0.1	1	1	1	2.454
10	1.063	3	0.71	0.56	-0.1	1	1	1	2.309
10	1.056	3	0.71	0.58	-0.1	1	1	1	2.433
10	1.063	3	0.71	0.6	-0.1	1	1	1	2.476
10	1.082	3	0.71	0.62	-0.1	1	1	1	2.415
10	1.12	3	0.71	0.64	-0.1	1	1	1	2.405
10	1.207	3	0.71	0.66	-0.1	1	1	1	2.502
10	1.473	3	0.71	0.68	-0.1	1	1	1	2.427
10	1.949	3	0.71	0.7	-0.1	1	1	1	2.476
10	1.77	3	0.71	0.72	-0.1	1	1	1	2.528
10	1.427	3	0.71	0.74	-0.1	1	1	1	2.395
10	1.167	3	0.71	0.76	-0.1	1	1	1	2.55
10	1.098	3	0.71	0.78	-0.1	1	1	1	2.349
10	1.069	3	0.71	0.8	-0.1	1	1	1	2.371
10	1.049	3	0.71	0.82	-0.1	1	1	1	2.525
10	1.038	3	0.71	0.84	-0.1	1	1	1	2.396
10	1.032	3	0.71	0.86	-0.1	1	1	1	2.413
10	1.028	3	0.71	0.88	-0.1	1	1	1	2.42
10	1.045	3	0.71	0.9	-0.1	1	1	1	2.473
10	1.024	3	0.71	0.92	-0.1	1	1	1	2.442
10	1.055	3	0.71	0.94	-0.1	1	1	1	2.456
10	1.039	3	0.71	0.96	-0.1	1	1	1	2.374
10	1.061	3	0.71	0.98	-0.1	1	1	1	2.396
10	1.321	3	0.71	1	-0.1	1	1	1	2.436
10	1.039	3	0.71	1.02	-0.1	1	1	1	2.444
10	1.069	3	0.71	1.04	-0.1	1	1	1	2.478
10	1.028	3	0.71	1.06	-0.1	1	1	1	2.575
10	1.031	3	0.71	1.08	-0.1	1	1	1	2.483
10	1.037	3	0.71	1.1	-0.1	1	1	1	2.411
10	1.047	3	0.71	1.12	-0.1	1	1	1	2.423
10	1.065	3	0.71	1.14	-0.1	1	1	1	2.364
10	1.102	3	0.71	1.16	-0.1	1	1	1	2.395
10	1.185	3	0.71	1.18	-0.1	1	1	1	2.501
10	1.498	3	0.71	1.2	-0.1	1	1	1	2.631
10	1.956	3	0.71	1.22	-0.1	1	1	1	2.608
10	1.734	3	0.71	1.24	-0.1	1	1	1	2.454
10	1.293	3	0.71	1.26	-0.1	1	1	1	2.36
10	1.145	3	0.71	1.28	-0.1	1	1	1	2.537
10	1.088	3	0.71	1.3	-0.1	1	1	1	2.5
10	1.061	3	0.71	1.32	-0.1	1	1	1	2.508
10	1.048	3	0.71	1.34	-0.1	1	1	1	2.244
10	1.046	3	0.71	1.36	-0.1	1	1	1	2.4
10	1.066	3	0.71	1.38	-0.1	1	1	1	2.461
10	1.168	3	0.71	1.4	-0.1	1	1	1	2.676
10	1.634	3	0.71	1.42	-0.1	1	1	1	2.509
10	1.091	3	0.71	1.44	-0.1	1	1	1	2.474
10	1.043	3	0.71	1.46	-0.1	1	1	1	2.299
10	1.026	3	0.71	1.48	-0.1	1	1	1	2.531
10	1.019	3	0.71	1.5	-0.1	1	1	1	2.781
10	1.022	3	0.71	1.52	-0.1	1	1	1	2.479
10	1.015	3	0.71	1.54	-0.1	1	1	1	2.39
10	1.015	3	0.71	1.56	-0.1	1	1	1	2.453
10	1.016	3	0.71	1.58	-0.1	1	1	1	2.334
10	1.018	3	0.71	1.6	-0.1	1	1	1	2.516
10	1.022	3	0.71	1.62	-0.1	1	1	1	2.494
10	1.032	3	0.71	1.64	-0.1	1	1	1	2.424
10	1.055	3	0.71	1.66	-0.1	1	1	1	2.559
10	1.136	3	0.71	1.68	-0.1	1	1	1	2.569
10	1.651	3	0.71	1.7	-0.1	1	1	1	2.581
10	1.376	3	0.71	1.72	-0.1	1	1	1	2.432
10	1.211	3	0.71	1.74	-0.1	1	1	1	2.401
10	1.062	3	0.71	1.76	-0.1	1	1	1	2.472
10	1.031	3	0.71	1.78	-0.1	1	1	1	2.427
10	1.022	3	0.71	1.8	-0.1	1	1	1	2.535
10	1.019	3	0.71	1.82	-0.1	1	1	1	2.405
10	1.02	3	0.71	1.84	-0.1	1	1	1	2.425
10	1.023	3	0.71	1.86	-0.1	1	1	1	2.387
10	1.034	3	0.71	1.88	-0.1	1	1	1	2.436
10	1.186	3	0.71	1.9	-0.1	1	1	1	2.593
10	1.226	3	0.71	1.92	-0.1	1	1	1	2.424
10	1.858	3	0.71	1.94	-0.1	1	1	1	2.417
10	1.137	3	0.71	1.96	-0.1	1	1	1	2.438
10	1.05	3	0.71	1.98	-0.1	1	1	1	2.527
10	1.026	3	0.71	2	-0.1	1	1	1	2.536
10	1.016	3	0.71	2.02	-0.1	1	1	1	2.757
10	1.012	3	0.71	2.04	-0.1	1	1	1	2.47
10	1.01	3	0.71	2.06	-0.1	1	1	1	2.42
10	1.009	3	0.71	2.08	-0.1	1	1	1	2.414
10	1.012	3	0.71	2.1	-0.1	1	1	1	2.562
10	1.066	3	0.71	2.12	-0.1	1	1	1	2.388
10	1.027	3	0.71	2.14	-0.1	1	1	1	2.581
10	1.009	3	0.71	2.16	-0.1	1	1	1	2.492
10	1.01	3	0.71	2.18	-0.1	1	1	1	2.45
10	1.009	3	0.71	2.2	-0.1	1	1	1	2.504
10	1.035	3	0.71	2.22	-0.1	1	1	1	2.565
10	1.015	3	0.71	2.24	-0.1	1	1	1	2.322
10	1.007	3	0.71	2.26	-0.1	1	1	1	2.401
10	1.006	3	0.71	2.28	-0.1	1	1	1	2.422
10	1.006	3	0.71	2.3	-0.1	1	1	1	2.389
10	1.007	3	0.71	2.32	-0.1	1	1	1	2.572
10	1.009	3	0.71	2.34	-0.1	1	1	1	2.528
10	1.013	3	0.71	2.36	-0.1	1	1	1	2.464
10	1.028	3	0.71	2.38	-0.1	1	1	1	2.429
10	1.073	3	0.71	2.4	-0.1	1	1	1	2.42
10	1.849	3	0.71	2.42	-0.1	1	1	1	2.376
10	1.151	3	0.71	2.44	-0.1	1	1	1	2.458
10	1.704	3	0.71	2.46	-0.1	1	1	1	2.498
10	1.07	3	0.71	2.48	-0.1	1	1	1	2.559
10	1.025	3	0.71	2.5	-0.1	1	1	1	2.503
10	1.014	3	0.71	2.52	-0.1	1	1	1	2.454
10	1.009	3	0.71	2.54	-0.1	1	1	1	2.526
10	1.007	3	0.71	2.56	-0.1	1	1	1	2.514
10	1.007	3	0.71	2.58	-0.1	1	1	1	2.459
10	1.008	3	0.71	2.6	-0.1	1	1	1	2.537
10	1.014	3	0.71	2.62	-0.1	1	1	1	2.391
10	1.114	3	0.71	2.64	-0.1	1	1	1	2.644
10	1.049	3	0.71	2.66	-0.1	1	1	1	2.622
10	1.011	3	0.71	2.68	-0.1	1	1	1	2.486
10	1.009	3	0.71	2.7	-0.1	1	1	1	2.414
10	1.005	3	0.71	2.72	-0.1	1	1	1	2.464
10	1.004	3	0.71	2.74	-0.1	1	1	1	2.534
10	1.003	3	0.71	2.76	-0.1	1	1	1	2.38
10	1.003	3	0.71	2.78	-0.1	1	1	1	2.163
10	1.003	3	0.71	2.8	-0.1	1	1	1	2.307
10	1.004	3	0.71	2.82	-0.1	1	1	1	2.258
10	1.036	3	0.71	2.84	-0.1	1	1	1	2.329
10	1.005	3	0.71	2.86	-0.1	1	1	1	2.379
10	1.008	3	0.71	2.88	-0.1	1	1	1	2.269
10	1.045	3	0.71	2.9	-0.1	1	1	1	2.527
10	1.055	3	0.71	2.92	-0.1	1	1	1	2.513
10	1.713	3	0.71	2.94	-0.1	1	1	1	2.457
10	1.037	3	0.71	2.96	-0.1	1	1	1	2.4
10	1.032	3	0.71	2.98	-0.1	1	1	1	2.578
10	1.007	3	0.71	3	-0.1	1	1	1	2.533
10	1.155	3	0.71	-0.1	-0.08	1	1	1	2.473
10	1.22	3	0.71	-0.08	-0.08	1	1	1	2.421
10	1.331	3	0.71	-0.06	-0.08	1	1	1	2.418
10	1.523	3	0.71	-0.04	-0.08	1	1	1	2.477
10	1.81	3	0.71	-0.02	-0.08	1	1	1	2.376
10	2.004	3	0.71	0	-0.08	1	1	1	2.52
10	1.81	3	0.71	0.02	-0.08	1	1	1	2.479
10	1.521	3	0.71	0.04	-0.08	1	1	1	2.411
10	1.331	3	0.71	0.06	-0.08	1	1	1	2.397
10	1.221	3	0.71	0.08	-0.08	1	1	1	2.426
10	1.155	3	0.71	0.1	-0.08	1	1	1	2.341
10	1.115	3	0.71	0.12	-0.08	1	1	1	2.331
10	1.089	3	0.71	0.14	-0.08	1	1	1	2.551
10	1.074	3	0.71	0.16	-0.08	1	1	1	2.289
10	1.271	3	0.71	0.18	-0.08	1	1	1	2.371
10	1.063	3	0.71	0.2	-0.08	1	1	1	2.487
10	1.153	3	0.71	0.22	-0.08	1	1	1	2.443
10	1.041	3	0.71	0.24	-0.08	1	1	1	2.425
10	1.031	3	0.71	0.26	-0.08	1	1	1	2.336
10	1.035	3	0.71	0.28	-0.08	1	1	1	2.201
10	1.026	3	0.71	0.3	-0.08	1	1	1	2.407
10	1.022	3	0.71	0.32	-0.08	1	1	1	2.412
10	1.02	3	0.71	0.34	-0.08	1	1	1	2.438
10	1.019	3	0.71	0.36	-0.08	1	1	1	2.31
10	1.026	3	0.71	0.38	-0.08	1	1	1	2.359
10	1.019	3	0.71	0.4	-0.08	1	1	1	2.468
10	1.083	3	0.71	0.42	-0.08	1	1	1	2.43
10	1.025	3	0.71	0.44	-0.08	1	1	1	2.488
10	1.04	3	0.71	0.46	-0.08	1	1	1	2.439
10	1.354	3	0.71	0.48	-0.08	1	1	1	2.459
10	1.098	3	0.71	0.5	-0.08	1	1	1	2.497
10	1.467	3	0.71	0.52	-0.08	1	1	1	2.434
10	1.076	3	0.71	0.54	-0.08	1	1	1	2.383
10	1.04	3	0.71	0.56	-0.08	1	1	1	2.48
10	1.035	3	0.71	0.58	-0.08	1	1	1	2.507
10	1.04	3	0.71	0.6	-0.08	1	1	1	2.391
