Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	2	3	0.71	0	1.216	1	0.029
1	3.309	3	0.71	0	1.216	1	0.026
2	4.542	3	0.71	0	1.216	1	0.027
3	5.735	3	0.71	0	1.216	1	0.036
4	6.065	3	0.71	0	1.216	1	0.037
5	6.293	3	0.71	0	1.216	1	0.06
6	6.452	3	0.71	0	1.216	1	0.107
7	6.573	3	0.71	0	1.216	1	0.245
8	6.652	3	0.71	0	1.216	1	0.491
9	6.695	3	0.71	0	1.216	1	1.085
10	6.7	3	0.71	0	1.216	1	2.357
11	6.713	3	0.71	0	1.216	1	4.858
12	6.716	3	0.71	0	1.216	1	10.078
13	6.714	3	0.71	0	1.216	1	14.123
14	6.716	3	0.71	0	1.216	1	27.759
15	6.715	3	0.71	0	1.216	1	42.904
16	6.718	3	0.71	0	1.216	1	42.993
17	6.715	3	0.71	0	1.216	1	43.562
18	6.715	3	0.71	0	1.216	1	44.159
19	6.717	3	0.71	0	1.216	1	43.982
20	6.716	3	0.71	0	1.216	1	43.28
0	1.949	3	0.71	0.2	1.216	1	0.046
1	3.531	3	0.71	0.2	1.216	1	0.026
2	5.08	3	0.71	0.2	1.216	1	0.027
3	6.978	3	0.71	0.2	1.216	1	0.032
4	7.747	3	0.71	0.2	1.216	1	0.035
5	8.339	3	0.71	0.2	1.216	1	0.055
6	8.779	3	0.71	0.2	1.216	1	0.124
7	9.024	3	0.71	0.2	1.216	1	0.25
8	9.135	3	0.71	0.2	1.216	1	0.49
9	9.206	3	0.71	0.2	1.216	1	1.017
10	9.254	3	0.71	0.2	1.216	1	2.459
11	9.258	3	0.71	0.2	1.216	1	4.919
12	9.316	3	0.71	0.2	1.216	1	9.938
13	9.314	3	0.71	0.2	1.216	1	13.872
14	9.327	3	0.71	0.2	1.216	1	28.714
15	9.328	3	0.71	0.2	1.216	1	42.887
16	9.345	3	0.71	0.2	1.216	1	43.306
17	9.343	3	0.71	0.2	1.216	1	43.687
18	9.348	3	0.71	0.2	1.216	1	43.179
19	9.348	3	0.71	0.2	1.216	1	43.525
20	9.348	3	0.71	0.2	1.216	1	43.996
0	1.822	3	0.71	0.4	1.216	1	0.024
1	3.562	3	0.71	0.4	1.216	1	0.023
2	5.02	3	0.71	0.4	1.216	1	0.027
3	7.369	3	0.71	0.4	1.216	1	0.028
4	8.762	3	0.71	0.4	1.216	1	0.041
5	9.873	3	0.71	0.4	1.216	1	0.068
6	10.498	3	0.71	0.4	1.216	1	0.142
7	10.698	3	0.71	0.4	1.216	1	0.23
8	10.742	3	0.71	0.4	1.216	1	0.536
9	10.901	3	0.71	0.4	1.216	1	1.169
10	11.01	3	0.71	0.4	1.216	1	2.513
11	11.045	3	0.71	0.4	1.216	1	4.78
12	11.053	3	0.71	0.4	1.216	1	9.469
13	11.097	3	0.71	0.4	1.216	1	13.603
14	11.102	3	0.71	0.4	1.216	1	27.655
15	11.122	3	0.71	0.4	1.216	1	43.309
16	11.141	3	0.71	0.4	1.216	1	43.461
17	11.143	3	0.71	0.4	1.216	1	43.089
18	11.141	3	0.71	0.4	1.216	1	44.099
19	11.139	3	0.71	0.4	1.216	1	43.77
20	11.143	3	0.71	0.4	1.216	1	43.955
0	1.673	3	0.71	0.6	1.216	1	0.04
1	3.057	3	0.71	0.6	1.216	1	0.064
2	4.68	3	0.71	0.6	1.216	1	0.073
3	7.027	3	0.71	0.6	1.216	1	0.046
4	8.892	3	0.71	0.6	1.216	1	0.041
5	10.035	3	0.71	0.6	1.216	1	0.058
6	10.634	3	0.71	0.6	1.216	1	0.13
7	10.976	3	0.71	0.6	1.216	1	0.264
8	11.22	3	0.71	0.6	1.216	1	0.583
9	11.292	3	0.71	0.6	1.216	1	1.244
10	11.533	3	0.71	0.6	1.216	1	2.468
11	11.616	3	0.71	0.6	1.216	1	5.047
12	11.72	3	0.71	0.6	1.216	1	9.767
13	11.743	3	0.71	0.6	1.216	1	13.952
14	11.775	3	0.71	0.6	1.216	1	28.616
15	11.766	3	0.71	0.6	1.216	1	43.571
16	11.773	3	0.71	0.6	1.216	1	43.598
17	11.777	3	0.71	0.6	1.216	1	43.58
18	11.787	3	0.71	0.6	1.216	1	43.782
19	11.79	3	0.71	0.6	1.216	1	43.821
20	11.788	3	0.71	0.6	1.216	1	44.035
0	1.536	3	0.71	0.8	1.216	1	0.024
1	2.67	3	0.71	0.8	1.216	1	0.023
2	4.25	3	0.71	0.8	1.216	1	0.024
3	6.258	3	0.71	0.8	1.216	1	0.039
4	7.808	3	0.71	0.8	1.216	1	0.046
5	8.803	3	0.71	0.8	1.216	1	0.094
6	9.53	3	0.71	0.8	1.216	1	0.123
7	10.089	3	0.71	0.8	1.216	1	0.297
8	10.379	3	0.71	0.8	1.216	1	0.527
9	10.663	3	0.71	0.8	1.216	1	1.201
10	10.908	3	0.71	0.8	1.216	1	2.363
11	10.987	3	0.71	0.8	1.216	1	4.878
12	11.094	3	0.71	0.8	1.216	1	9.429
13	11.12	3	0.71	0.8	1.216	1	13.925
14	11.145	3	0.71	0.8	1.216	1	28.787
15	11.158	3	0.71	0.8	1.216	1	43.414
16	11.163	3	0.71	0.8	1.216	1	42.83
17	11.149	3	0.71	0.8	1.216	1	43.911
18	11.15	3	0.71	0.8	1.216	1	44.792
19	11.145	3	0.71	0.8	1.216	1	43.651
20	11.141	3	0.71	0.8	1.216	1	44.021
0	1.425	3	0.71	1	1.216	1	0.025
1	2.601	3	0.71	1	1.216	1	0.023
2	4.302	3	0.71	1	1.216	1	0.026
3	5.846	3	0.71	1	1.216	1	0.034
4	6.857	3	0.71	1	1.216	1	0.038
5	7.469	3	0.71	1	1.216	1	0.065
6	8.039	3	0.71	1	1.216	1	0.125
7	8.351	3	0.71	1	1.216	1	0.278
8	8.55	3	0.71	1	1.216	1	0.531
9	8.841	3	0.71	1	1.216	1	1.092
10	8.902	3	0.71	1	1.216	1	2.464
11	8.96	3	0.71	1	1.216	1	4.973
12	8.988	3	0.71	1	1.216	1	9.919
13	8.991	3	0.71	1	1.216	1	13.876
14	9.019	3	0.71	1	1.216	1	29.02
15	9.061	3	0.71	1	1.216	1	43.289
16	9.058	3	0.71	1	1.216	1	43.191
17	9.074	3	0.71	1	1.216	1	43.732
18	9.07	3	0.71	1	1.216	1	44.356
19	9.073	3	0.71	1	1.216	1	44.009
20	9.069	3	0.71	1	1.216	1	44.151
0	1.339	3	0.71	1.2	1.216	1	0.024
1	2.802	3	0.71	1.2	1.216	1	0.023
2	4.109	3	0.71	1.2	1.216	1	0.024
3	5.386	3	0.71	1.2	1.216	1	0.051
4	6.206	3	0.71	1.2	1.216	1	0.044
5	6.736	3	0.71	1.2	1.216	1	0.058
6	6.998	3	0.71	1.2	1.216	1	0.131
7	7.194	3	0.71	1.2	1.216	1	0.298
8	7.347	3	0.71	1.2	1.216	1	0.56
9	7.429	3	0.71	1.2	1.216	1	1.179
10	7.508	3	0.71	1.2	1.216	1	2.316
11	7.593	3	0.71	1.2	1.216	1	4.806
12	7.623	3	0.71	1.2	1.216	1	9.666
13	7.644	3	0.71	1.2	1.216	1	14.496
14	7.657	3	0.71	1.2	1.216	1	28.526
15	7.666	3	0.71	1.2	1.216	1	43.595
16	7.662	3	0.71	1.2	1.216	1	43.403
17	7.663	3	0.71	1.2	1.216	1	42.691
18	7.666	3	0.71	1.2	1.216	1	44.139
19	7.664	3	0.71	1.2	1.216	1	44.035
20	7.666	3	0.71	1.2	1.216	1	44.453
0	1.274	3	0.71	1.4	1.216	1	0.024
1	2.378	3	0.71	1.4	1.216	1	0.023
2	3.305	3	0.71	1.4	1.216	1	0.024
3	3.986	3	0.71	1.4	1.216	1	0.03
4	4.53	3	0.71	1.4	1.216	1	0.033
5	5.059	3	0.71	1.4	1.216	1	0.057
6	5.355	3	0.71	1.4	1.216	1	0.114
7	5.608	3	0.71	1.4	1.216	1	0.295
8	5.699	3	0.71	1.4	1.216	1	0.519
9	5.789	3	0.71	1.4	1.216	1	1.096
10	5.839	3	0.71	1.4	1.216	1	2.36
11	5.883	3	0.71	1.4	1.216	1	4.943
12	5.906	3	0.71	1.4	1.216	1	9.999
13	5.921	3	0.71	1.4	1.216	1	14.544
14	5.926	3	0.71	1.4	1.216	1	28.745
15	5.932	3	0.71	1.4	1.216	1	42.955
16	5.94	3	0.71	1.4	1.216	1	43.165
17	5.942	3	0.71	1.4	1.216	1	43.711
18	5.944	3	0.71	1.4	1.216	1	43.371
19	5.942	3	0.71	1.4	1.216	1	43.971
20	5.943	3	0.71	1.4	1.216	1	43.383
0	1.224	3	0.71	1.6	1.216	1	0.024
1	1.512	3	0.71	1.6	1.216	1	0.025
2	1.874	3	0.71	1.6	1.216	1	0.024
3	2.4	3	0.71	1.6	1.216	1	0.028
4	2.802	3	0.71	1.6	1.216	1	0.041
5	3.283	3	0.71	1.6	1.216	1	0.062
6	3.481	3	0.71	1.6	1.216	1	0.125
7	3.694	3	0.71	1.6	1.216	1	0.236
8	3.824	3	0.71	1.6	1.216	1	0.543
9	3.912	3	0.71	1.6	1.216	1	1.108
10	3.965	3	0.71	1.6	1.216	1	2.452
11	4.002	3	0.71	1.6	1.216	1	4.903
12	4.023	3	0.71	1.6	1.216	1	10.027
13	4.036	3	0.71	1.6	1.216	1	13.888
14	4.047	3	0.71	1.6	1.216	1	28.646
15	4.055	3	0.71	1.6	1.216	1	43.781
16	4.057	3	0.71	1.6	1.216	1	43.243
17	4.054	3	0.71	1.6	1.216	1	43.889
18	4.058	3	0.71	1.6	1.216	1	43.501
19	4.059	3	0.71	1.6	1.216	1	43.855
20	4.06	3	0.71	1.6	1.216	1	58.281
0	1.186	3	0.71	1.8	1.216	1	0.027
1	1.399	3	0.71	1.8	1.216	1	0.023
2	1.731	3	0.71	1.8	1.216	1	0.026
3	2.204	3	0.71	1.8	1.216	1	0.053
4	2.521	3	0.71	1.8	1.216	1	0.032
5	2.783	3	0.71	1.8	1.216	1	0.056
6	2.93	3	0.71	1.8	1.216	1	0.116
7	3.105	3	0.71	1.8	1.216	1	0.256
8	3.204	3	0.71	1.8	1.216	1	0.534
9	3.263	3	0.71	1.8	1.216	1	1.116
10	3.319	3	0.71	1.8	1.216	1	2.487
11	3.349	3	0.71	1.8	1.216	1	4.846
12	3.366	3	0.71	1.8	1.216	1	9.939
13	3.378	3	0.71	1.8	1.216	1	14.009
14	3.384	3	0.71	1.8	1.216	1	28.287
15	3.395	3	0.71	1.8	1.216	1	42.362
16	3.394	3	0.71	1.8	1.216	1	43.883
17	3.393	3	0.71	1.8	1.216	1	43.523
18	3.4	3	0.71	1.8	1.216	1	58.985
19	3.406	3	0.71	1.8	1.216	1	57.906
20	3.406	3	0.71	1.8	1.216	1	57.965
0	1.156	3	0.71	2	1.216	1	0.036
1	1.418	3	0.71	2	1.216	1	0.026
2	1.969	3	0.71	2	1.216	1	0.024
3	2.346	3	0.71	2	1.216	1	0.038
4	2.537	3	0.71	2	1.216	1	0.048
5	2.756	3	0.71	2	1.216	1	0.058
6	2.847	3	0.71	2	1.216	1	0.123
7	2.955	3	0.71	2	1.216	1	0.253
8	3.032	3	0.71	2	1.216	1	0.526
9	3.074	3	0.71	2	1.216	1	1.128
10	3.116	3	0.71	2	1.216	1	2.363
11	3.136	3	0.71	2	1.216	1	4.879
12	3.152	3	0.71	2	1.216	1	9.716
13	3.154	3	0.71	2	1.216	1	13.941
14	3.159	3	0.71	2	1.216	1	28.756
15	3.164	3	0.71	2	1.216	1	43.132
16	3.168	3	0.71	2	1.216	1	43.16
17	3.17	3	0.71	2	1.216	1	43.833
18	3.172	3	0.71	2	1.216	1	44.064
19	3.171	3	0.71	2	1.216	1	43.531
20	3.171	3	0.71	2	1.216	1	57.873
0	1.133	3	0.71	2.2	1.216	1	0.026
1	1.213	3	0.71	2.2	1.216	1	0.024
2	1.54	3	0.71	2.2	1.216	1	0.028
3	1.813	3	0.71	2.2	1.216	1	0.03
4	2.052	3	0.71	2.2	1.216	1	0.052
5	2.352	3	0.71	2.2	1.216	1	0.062
6	2.511	3	0.71	2.2	1.216	1	0.119
7	2.599	3	0.71	2.2	1.216	1	0.266
8	2.653	3	0.71	2.2	1.216	1	0.537
9	2.697	3	0.71	2.2	1.216	1	1.128
10	2.73	3	0.71	2.2	1.216	1	2.504
11	2.753	3	0.71	2.2	1.216	1	4.907
12	2.754	3	0.71	2.2	1.216	1	10.062
13	2.76	3	0.71	2.2	1.216	1	14.394
14	2.762	3	0.71	2.2	1.216	1	29.15
15	2.764	3	0.71	2.2	1.216	1	43.353
16	2.764	3	0.71	2.2	1.216	1	44.771
17	2.766	3	0.71	2.2	1.216	1	43.41
18	2.765	3	0.71	2.2	1.216	1	44.001
19	2.766	3	0.71	2.2	1.216	1	43.829
20	2.765	3	0.71	2.2	1.216	1	44.206
0	1.114	3	0.71	2.4	1.216	1	0.024
1	1.159	3	0.71	2.4	1.216	1	0.023
2	1.314	3	0.71	2.4	1.216	1	0.049
3	1.444	3	0.71	2.4	1.216	1	0.05
4	1.524	3	0.71	2.4	1.216	1	0.047
5	1.588	3	0.71	2.4	1.216	1	0.097
6	1.647	3	0.71	2.4	1.216	1	0.131
7	1.689	3	0.71	2.4	1.216	1	0.266
8	1.714	3	0.71	2.4	1.216	1	0.496
9	1.734	3	0.71	2.4	1.216	1	1.072
10	1.758	3	0.71	2.4	1.216	1	2.42
11	1.759	3	0.71	2.4	1.216	1	5.22
12	1.759	3	0.71	2.4	1.216	1	9.823
13	1.766	3	0.71	2.4	1.216	1	13.773
14	1.767	3	0.71	2.4	1.216	1	29.172
15	1.768	3	0.71	2.4	1.216	1	42.623
16	1.768	3	0.71	2.4	1.216	1	43.585
17	1.769	3	0.71	2.4	1.216	1	44.096
18	1.769	3	0.71	2.4	1.216	1	59.323
19	1.769	3	0.71	2.4	1.216	1	59.147
20	1.769	3	0.71	2.4	1.216	1	58.396
0	1.099	3	0.71	2.6	1.216	1	0.023
1	1.278	3	0.71	2.6	1.216	1	0.023
