Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11
0	2	4	0.708	0	1.37	0.7	1	1	1	0.049
1	3.308	4	0.708	0	1.37	0.7	1	1	1	0.054
2	4.891	4	0.708	0	1.37	0.7	1	1	1	0.07
3	6.483	4	0.708	0	1.37	0.7	1	1	1	0.085
4	7.717	4	0.708	0	1.37	0.7	1	1	1	0.427
5	8.491	4	0.708	0	1.37	0.7	1	1	1	2.507
6	8.922	4	0.708	0	1.37	0.7	1	1	1	13.548
7	9.243	4	0.708	0	1.37	0.7	1	1	1	53.075
8	9.44	4	0.708	0	1.37	0.7	1	1	1	168.649
9	9.565	4	0.708	0	1.37	0.7	1	1	1	337.197
10	9.647	4	0.708	0	1.37	0.7	1	1	1	401.58
11	9.681	4	0.708	0	1.37	0.7	1	1	1	509.406
12	9.679	4	0.708	0	1.37	0.7	1	1	1	517.828
0	1.959	4	0.708	0.2	1.37	0.7	1	1	1	0.04
1	3.525	4	0.708	0.2	1.37	0.7	1	1	1	0.04
2	5.375	4	0.708	0.2	1.37	0.7	1	1	1	0.047
3	7.959	4	0.708	0.2	1.37	0.7	1	1	1	0.095
4	9.807	4	0.708	0.2	1.37	0.7	1	1	1	0.437
5	11.984	4	0.708	0.2	1.37	0.7	1	1	1	2.435
6	13.468	4	0.708	0.2	1.37	0.7	1	1	1	13.029
7	14.473	4	0.708	0.2	1.37	0.7	1	1	1	55.602
8	14.879	4	0.708	0.2	1.37	0.7	1	1	1	170.922
9	15.185	4	0.708	0.2	1.37	0.7	1	1	1	334.626
10	15.397	4	0.708	0.2	1.37	0.7	1	1	1	447.415
11	15.504	4	0.708	0.2	1.37	0.7	1	1	1	516.466
12	15.553	4	0.708	0.2	1.37	0.7	1	1	1	623.159
0	1.79	4	0.708	0.5	1.37	0.7	1	1	1	0.049
1	3.819	4	0.708	0.5	1.37	0.7	1	1	1	0.061
2	5.66	4	0.708	0.5	1.37	0.7	1	1	1	0.048
3	8.73	4	0.708	0.5	1.37	0.7	1	1	1	0.121
4	12.62	4	0.708	0.5	1.37	0.7	1	1	1	0.448
5	15.609	4	0.708	0.5	1.37	0.7	1	1	1	2.482
6	17.615	4	0.708	0.5	1.37	0.7	1	1	1	13.432
7	18.983	4	0.708	0.5	1.37	0.7	1	1	1	51.89
8	19.607	4	0.708	0.5	1.37	0.7	1	1	1	169.225
9	20.429	4	0.708	0.5	1.37	0.7	1	1	1	342.497
10	20.997	4	0.708	0.5	1.37	0.7	1	1	1	480.295
11	21.347	4	0.708	0.5	1.37	0.7	1	1	1	543.184
12	21.615	4	0.708	0.5	1.37	0.7	1	1	1	684.946
0	1.657	4	0.708	0.7	1.37	0.7	1	1	1	0.041
1	3.413	4	0.708	0.7	1.37	0.7	1	1	1	0.041
2	5.479	4	0.708	0.7	1.37	0.7	1	1	1	0.048
3	8.54	4	0.708	0.7	1.37	0.7	1	1	1	0.092
4	11.891	4	0.708	0.7	1.37	0.7	1	1	1	0.382
5	15.158	4	0.708	0.7	1.37	0.7	1	1	1	2.308
6	17.165	4	0.708	0.7	1.37	0.7	1	1	1	12.774
7	18.415	4	0.708	0.7	1.37	0.7	1	1	1	53.189
8	19.399	4	0.708	0.7	1.37	0.7	1	1	1	165.508
9	20.049	4	0.708	0.7	1.37	0.7	1	1	1	328.272
10	20.702	4	0.708	0.7	1.37	0.7	1	1	1	502.924
11	21.092	4	0.708	0.7	1.37	0.7	1	1	1	605.207
12	21.341	4	0.708	0.7	1.37	0.7	1	1	1	663.759
0	1.595	4	0.708	0.8	1.37	0.7	1	1	1	0.055
1	3.336	4	0.708	0.8	1.37	0.7	1	1	1	0.04
2	5.43	4	0.708	0.8	1.37	0.7	1	1	1	0.047
3	8.412	4	0.708	0.8	1.37	0.7	1	1	1	0.098
4	11.6	4	0.708	0.8	1.37	0.7	1	1	1	0.372
5	14.706	4	0.708	0.8	1.37	0.7	1	1	1	2.411
6	16.639	4	0.708	0.8	1.37	0.7	1	1	1	13.782
7	18.104	4	0.708	0.8	1.37	0.7	1	1	1	53.706
8	19.09	4	0.708	0.8	1.37	0.7	1	1	1	165.365
9	19.812	4	0.708	0.8	1.37	0.7	1	1	1	328.877
10	20.418	4	0.708	0.8	1.37	0.7	1	1	1	496.699
11	20.881	4	0.708	0.8	1.37	0.7	1	1	1	612.563
12	21.089	4	0.708	0.8	1.37	0.7	1	1	1	680.183
0	1.484	4	0.708	1	1.37	0.7	1	1	1	0.049
1	3.385	4	0.708	1	1.37	0.7	1	1	1	0.048
2	5.247	4	0.708	1	1.37	0.7	1	1	1	0.054
3	7.481	4	0.708	1	1.37	0.7	1	1	1	0.109
4	10.365	4	0.708	1	1.37	0.7	1	1	1	0.399
5	13.18	4	0.708	1	1.37	0.7	1	1	1	2.571
6	15.13	4	0.708	1	1.37	0.7	1	1	1	13.375
7	16.832	4	0.708	1	1.37	0.7	1	1	1	54.551
8	17.858	4	0.708	1	1.37	0.7	1	1	1	169.315
9	18.611	4	0.708	1	1.37	0.7	1	1	1	330.539
10	19.229	4	0.708	1	1.37	0.7	1	1	1	504.129
11	19.548	4	0.708	1	1.37	0.7	1	1	1	620.647
12	19.753	4	0.708	1	1.37	0.7	1	1	1	739.362
0	1.395	4	0.708	1.2	1.37	0.7	1	1	1	0.06
1	2.984	4	0.708	1.2	1.37	0.7	1	1	1	0.051
2	4.687	4	0.708	1.2	1.37	0.7	1	1	1	0.049
3	6.091	4	0.708	1.2	1.37	0.7	1	1	1	0.09
4	8.09	4	0.708	1.2	1.37	0.7	1	1	1	0.417
5	10.218	4	0.708	1.2	1.37	0.7	1	1	1	2.435
6	12.047	4	0.708	1.2	1.37	0.7	1	1	1	13.639
7	13.305	4	0.708	1.2	1.37	0.7	1	1	1	55.997
8	14.154	4	0.708	1.2	1.37	0.7	1	1	1	167.519
9	14.915	4	0.708	1.2	1.37	0.7	1	1	1	342.855
10	15.327	4	0.708	1.2	1.37	0.7	1	1	1	506.934
11	15.591	4	0.708	1.2	1.37	0.7	1	1	1	637.749
12	15.736	4	0.708	1.2	1.37	0.7	1	1	1	757.386
0	1.324	4	0.708	1.4	1.37	0.7	1	1	1	0.039
1	2.051	4	0.708	1.4	1.37	0.7	1	1	1	0.052
2	3.058	4	0.708	1.4	1.37	0.7	1	1	1	0.043
3	4.37	4	0.708	1.4	1.37	0.7	1	1	1	0.095
4	5.942	4	0.708	1.4	1.37	0.7	1	1	1	0.423
5	7.516	4	0.708	1.4	1.37	0.7	1	1	1	2.477
6	8.894	4	0.708	1.4	1.37	0.7	1	1	1	13.671
7	9.675	4	0.708	1.4	1.37	0.7	1	1	1	55.02
8	10.345	4	0.708	1.4	1.37	0.7	1	1	1	168.499
9	10.844	4	0.708	1.4	1.37	0.7	1	1	1	343.182
