Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11	Var1_12
0	2	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.046
1	3.605	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.047
2	5.392	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	0.131
3	7.259	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	1.537
4	8.979	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	32.317
5	10.36	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	383.936
6	11.218	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	2366.949
7	11.932	5	0.709	0	1.58	0.2	1	1.1	0.7	2.3	7869.139
0	1.969	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.054
1	4.337	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.077
2	6.202	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	0.103
3	8.872	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	1.51
4	11.593	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	31.113
5	14.611	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	380.899
6	17.026	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	2374.884
7	19.983	5	0.709	0.2	1.58	0.2	1	1.1	0.7	2.3	7900.052
0	1.933	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.052
1	4.404	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.058
2	6.447	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	0.095
3	9.392	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	1.455
4	12.788	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	30.924
5	16.974	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	384.628
6	20.269	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	2371.187
7	23.841	5	0.709	0.3	1.58	0.2	1	1.1	0.7	2.3	7896.345
0	1.776	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.076
1	4.292	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.046
2	6.632	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	0.105
3	10.031	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	1.486
4	14.96	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	31.497
5	20.156	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	379.278
6	23.936	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	2382.617
7	28.522	5	0.709	0.6	1.58	0.2	1	1.1	0.7	2.3	7910.859
0	1.606	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.063
1	3.635	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.087
2	5.985	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	0.15
3	9.922	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	1.431
4	14.979	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	30.388
5	20.452	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	379.935
6	25.871	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	2365.17
7	32.163	5	0.709	0.9	1.58	0.2	1	1.1	0.7	2.3	7887.771
0	1.464	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	0.045
1	2.664	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	0.045
2	4.618	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	0.105
3	7.734	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	1.519
4	11.16	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	31.593
5	16.181	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	368.24
6	21.222	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	2219.777
7	27.124	5	0.709	1.2	1.58	0.2	1	1.1	0.7	2.3	6913.398
0	1.389	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	0.047
1	2.91	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	0.046
2	4.425	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	0.098
3	6.35	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	1.428
4	9.326	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	26.013
5	12.408	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	338.628
6	17.01	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	2145.089
7	22.033	5	0.709	1.4	1.58	0.2	1	1.1	0.7	2.3	7858.223
0	1.328	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	0.052
1	2.202	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	0.057
2	3.927	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	0.113
3	5.641	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	1.556
4	7.546	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	31.444
5	11.21	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	383.973
6	14.911	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	2351.525
7	19.107	5	0.709	1.6	1.58	0.2	1	1.1	0.7	2.3	7898.855
0	1.278	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	0.046
1	1.891	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	0.074
2	3.15	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	0.159
3	4.523	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	1.386
4	6.17	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	30.971
5	8.749	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	382.29
6	11.797	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	2373.041
7	14.7	5	0.709	1.8	1.58	0.2	1	1.1	0.7	2.3	7882.775
0	1.238	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	0.046
1	2.011	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	0.057
2	3.612	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	0.11
3	4.905	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	1.461
4	6.048	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	30.621
5	7.044	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	383.952
6	7.867	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	2357.449
7	8.807	5	0.709	2	1.58	0.2	1	1.1	0.7	2.3	7881.318
0	1.221	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	0.056
1	1.621	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	0.046
2	2.193	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	0.101
3	2.671	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	1.464
4	3.05	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	30.596
5	3.532	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	374.18
6	4.185	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	2366.846
7	4.772	5	0.709	2.1	1.58	0.2	1	1.1	0.7	2.3	7892.569
0	1.205	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	0.042
1	1.397	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	0.046
2	1.645	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	0.112
3	2.139	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	1.476
4	2.676	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	31.679
5	3.125	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	378.308
6	3.624	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	2376.356
7	4.027	5	0.709	2.2	1.58	0.2	1	1.1	0.7	2.3	7878.81
0	1.178	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	0.062
1	2.243	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	0.053
2	3.108	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	0.107
3	3.704	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	1.461
4	4.174	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	30.783
5	4.534	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	376.014
6	4.91	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	2363.677
7	5.165	5	0.709	2.4	1.58	0.2	1	1.1	0.7	2.3	7888.313
0	1.156	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	0.091
1	1.271	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	0.047
2	1.952	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	0.111
3	2.275	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	1.548
4	2.79	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	31.717
5	3.172	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	375.914
6	3.402	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	2368.172
7	3.621	5	0.709	2.6	1.58	0.2	1	1.1	0.7	2.3	7835.366
0	1.137	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	0.052
1	1.202	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	0.063
2	1.319	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	0.101
3	1.585	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	1.545
4	1.702	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	30.897
5	1.818	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	379.366
6	1.911	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	2348.461
7	1.987	5	0.709	2.8	1.58	0.2	1	1.1	0.7	2.3	7884.71
