Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	1.111	1	0.724	0	0.73	0.8	1.648
1	2.146	1	0.724	0	0.73	0.8	0.036
2	2.63	1	0.724	0	0.73	0.8	0.004
3	2.783	1	0.724	0	0.73	0.8	0.004
4	2.833	1	0.724	0	0.73	0.8	0.004
5	2.848	1	0.724	0	0.73	0.8	0.007
6	2.852	1	0.724	0	0.73	0.8	0.006
7	2.853	1	0.724	0	0.73	0.8	0.007
8	2.854	1	0.724	0	0.73	0.8	0.109
9	2.855	1	0.724	0	0.73	0.8	0.01
10	2.855	1	0.724	0	0.73	0.8	0.005
11	2.856	1	0.724	0	0.73	0.8	0.005
12	2.856	1	0.724	0	0.73	0.8	0.008
13	2.857	1	0.724	0	0.73	0.8	0.004
14	2.857	1	0.724	0	0.73	0.8	0.007
15	2.857	1	0.724	0	0.73	0.8	0.007
16	2.857	1	0.724	0	0.73	0.8	0.007
17	2.857	1	0.724	0	0.73	0.8	0.006
18	2.857	1	0.724	0	0.73	0.8	0.006
19	2.857	1	0.724	0	0.73	0.8	0.005
20	2.857	1	0.724	0	0.73	0.8	0.005
0	1.091	1	0.724	0.1	0.73	0.8	0.005
1	2.191	1	0.724	0.1	0.73	0.8	0.005
2	2.643	1	0.724	0.1	0.73	0.8	0.005
3	2.73	1	0.724	0.1	0.73	0.8	0.006
4	2.743	1	0.724	0.1	0.73	0.8	0.005
5	2.766	1	0.724	0.1	0.73	0.8	0.006
6	2.759	1	0.724	0.1	0.73	0.8	0.004
7	2.754	1	0.724	0.1	0.73	0.8	0.006
8	2.751	1	0.724	0.1	0.73	0.8	0.005
9	2.75	1	0.724	0.1	0.73	0.8	0.005
10	2.75	1	0.724	0.1	0.73	0.8	0.006
11	2.75	1	0.724	0.1	0.73	0.8	0.006
12	2.751	1	0.724	0.1	0.73	0.8	0.005
13	2.751	1	0.724	0.1	0.73	0.8	0.005
14	2.752	1	0.724	0.1	0.73	0.8	0.004
15	2.752	1	0.724	0.1	0.73	0.8	0.004
16	2.752	1	0.724	0.1	0.73	0.8	0.004
17	2.752	1	0.724	0.1	0.73	0.8	0.005
18	2.752	1	0.724	0.1	0.73	0.8	0.005
19	2.752	1	0.724	0.1	0.73	0.8	0.006
20	2.752	1	0.724	0.1	0.73	0.8	0.005
0	1.039	1	0.724	0.2	0.73	0.8	0.004
1	2.177	1	0.724	0.2	0.73	0.8	0.004
2	2.579	1	0.724	0.2	0.73	0.8	0.005
3	2.647	1	0.724	0.2	0.73	0.8	0.006
4	2.67	1	0.724	0.2	0.73	0.8	0.006
5	2.676	1	0.724	0.2	0.73	0.8	0.007
6	2.673	1	0.724	0.2	0.73	0.8	0.006
7	2.67	1	0.724	0.2	0.73	0.8	0.008
8	2.669	1	0.724	0.2	0.73	0.8	0.006
9	2.668	1	0.724	0.2	0.73	0.8	0.006
10	2.668	1	0.724	0.2	0.73	0.8	0.006
11	2.669	1	0.724	0.2	0.73	0.8	0.006
12	2.669	1	0.724	0.2	0.73	0.8	0.006
13	2.67	1	0.724	0.2	0.73	0.8	0.006
14	2.67	1	0.724	0.2	0.73	0.8	0.005
15	2.67	1	0.724	0.2	0.73	0.8	0.006
16	2.67	1	0.724	0.2	0.73	0.8	0.005
17	2.67	1	0.724	0.2	0.73	0.8	0.005
18	2.67	1	0.724	0.2	0.73	0.8	0.005
19	2.67	1	0.724	0.2	0.73	0.8	0.006
20	2.67	1	0.724	0.2	0.73	0.8	0.006
0	0.971	1	0.724	0.3	0.73	0.8	0.005
1	2.116	1	0.724	0.3	0.73	0.8	0.005
2	2.513	1	0.724	0.3	0.73	0.8	0.005
3	2.604	1	0.724	0.3	0.73	0.8	0.005
4	2.631	1	0.724	0.3	0.73	0.8	0.005
5	2.635	1	0.724	0.3	0.73	0.8	0.005
6	2.633	1	0.724	0.3	0.73	0.8	0.005
7	2.631	1	0.724	0.3	0.73	0.8	0.005
8	2.63	1	0.724	0.3	0.73	0.8	0.005
9	2.63	1	0.724	0.3	0.73	0.8	0.005
10	2.63	1	0.724	0.3	0.73	0.8	0.006
11	2.63	1	0.724	0.3	0.73	0.8	0.006
12	2.63	1	0.724	0.3	0.73	0.8	0.006
13	2.631	1	0.724	0.3	0.73	0.8	0.005
14	2.632	1	0.724	0.3	0.73	0.8	0.006
15	2.632	1	0.724	0.3	0.73	0.8	0.005
16	2.632	1	0.724	0.3	0.73	0.8	0.005
17	2.632	1	0.724	0.3	0.73	0.8	0.005
18	2.631	1	0.724	0.3	0.73	0.8	0.006
19	2.631	1	0.724	0.3	0.73	0.8	0.007
20	2.631	1	0.724	0.3	0.73	0.8	0.006
0	0.903	1	0.724	0.4	0.73	0.8	0.006
1	2.007	1	0.724	0.4	0.73	0.8	0.005
2	2.444	1	0.724	0.4	0.73	0.8	0.006
3	2.574	1	0.724	0.4	0.73	0.8	0.005
4	2.61	1	0.724	0.4	0.73	0.8	0.006
5	2.616	1	0.724	0.4	0.73	0.8	0.006
6	2.614	1	0.724	0.4	0.73	0.8	0.005
7	2.612	1	0.724	0.4	0.73	0.8	0.005
8	2.611	1	0.724	0.4	0.73	0.8	0.005
9	2.611	1	0.724	0.4	0.73	0.8	0.006
10	2.611	1	0.724	0.4	0.73	0.8	0.005
11	2.612	1	0.724	0.4	0.73	0.8	0.005
12	2.612	1	0.724	0.4	0.73	0.8	0.006
13	2.613	1	0.724	0.4	0.73	0.8	0.007
14	2.613	1	0.724	0.4	0.73	0.8	0.006
15	2.613	1	0.724	0.4	0.73	0.8	0.005
16	2.613	1	0.724	0.4	0.73	0.8	0.007
17	2.613	1	0.724	0.4	0.73	0.8	0.005
18	2.613	1	0.724	0.4	0.73	0.8	0.006
19	2.613	1	0.724	0.4	0.73	0.8	0.006
20	2.613	1	0.724	0.4	0.73	0.8	0.006
0	0.842	1	0.724	0.5	0.73	0.8	0.004
1	1.844	1	0.724	0.5	0.73	0.8	0.005
2	2.317	1	0.724	0.5	0.73	0.8	0.005
3	2.495	1	0.724	0.5	0.73	0.8	0.004
4	2.549	1	0.724	0.5	0.73	0.8	0.005
5	2.559	1	0.724	0.5	0.73	0.8	0.004
6	2.558	1	0.724	0.5	0.73	0.8	0.005
7	2.556	1	0.724	0.5	0.73	0.8	0.004
8	2.555	1	0.724	0.5	0.73	0.8	0.005
9	2.555	1	0.724	0.5	0.73	0.8	0.005
10	2.555	1	0.724	0.5	0.73	0.8	0.005
11	2.555	1	0.724	0.5	0.73	0.8	0.004
12	2.556	1	0.724	0.5	0.73	0.8	0.004
