Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8	Var1_9
0	0.769	2	0.707	0	0.95	0.3	1	0.262
1	2.126	2	0.707	0	0.95	0.3	1	0.017
2	3.078	2	0.707	0	0.95	0.3	1	0.017
3	3.426	2	0.707	0	0.95	0.3	1	0.012
4	3.643	2	0.707	0	0.95	0.3	1	0.013
5	3.601	2	0.707	0	0.95	0.3	1	0.013
6	3.623	2	0.707	0	0.95	0.3	1	0.014
7	3.634	2	0.707	0	0.95	0.3	1	0.012
8	3.64	2	0.707	0	0.95	0.3	1	0.015
9	3.644	2	0.707	0	0.95	0.3	1	0.014
10	3.645	2	0.707	0	0.95	0.3	1	0.018
11	3.646	2	0.707	0	0.95	0.3	1	0.025
12	3.646	2	0.707	0	0.95	0.3	1	0.027
13	3.646	2	0.707	0	0.95	0.3	1	0.032
14	3.647	2	0.707	0	0.95	0.3	1	0.041
15	3.647	2	0.707	0	0.95	0.3	1	0.054
16	3.647	2	0.707	0	0.95	0.3	1	0.063
17	3.647	2	0.707	0	0.95	0.3	1	0.075
18	3.647	2	0.707	0	0.95	0.3	1	0.099
19	3.647	2	0.707	0	0.95	0.3	1	0.126
20	3.647	2	0.707	0	0.95	0.3	1	0.148
0	0.761	2	0.707	0.1	0.95	0.3	1	0.014
1	2.208	2	0.707	0.1	0.95	0.3	1	0.013
2	3.385	2	0.707	0.1	0.95	0.3	1	0.012
3	4.038	2	0.707	0.1	0.95	0.3	1	0.012
4	4.205	2	0.707	0.1	0.95	0.3	1	0.013
5	4.135	2	0.707	0.1	0.95	0.3	1	0.012
6	4.171	2	0.707	0.1	0.95	0.3	1	0.015
7	4.174	2	0.707	0.1	0.95	0.3	1	0.016
8	4.185	2	0.707	0.1	0.95	0.3	1	0.013
9	4.191	2	0.707	0.1	0.95	0.3	1	0.017
10	4.194	2	0.707	0.1	0.95	0.3	1	0.023
11	4.195	2	0.707	0.1	0.95	0.3	1	0.022
12	4.195	2	0.707	0.1	0.95	0.3	1	0.026
13	4.196	2	0.707	0.1	0.95	0.3	1	0.033
14	4.197	2	0.707	0.1	0.95	0.3	1	0.037
15	4.196	2	0.707	0.1	0.95	0.3	1	0.052
16	4.196	2	0.707	0.1	0.95	0.3	1	0.068
17	4.196	2	0.707	0.1	0.95	0.3	1	0.077
18	4.196	2	0.707	0.1	0.95	0.3	1	0.096
19	4.196	2	0.707	0.1	0.95	0.3	1	0.108
20	4.196	2	0.707	0.1	0.95	0.3	1	0.145
0	0.738	2	0.707	0.2	0.95	0.3	1	0.012
1	2.231	2	0.707	0.2	0.95	0.3	1	0.009
2	3.633	2	0.707	0.2	0.95	0.3	1	0.009
3	4.471	2	0.707	0.2	0.95	0.3	1	0.013
4	4.712	2	0.707	0.2	0.95	0.3	1	0.01
5	4.699	2	0.707	0.2	0.95	0.3	1	0.011
6	4.741	2	0.707	0.2	0.95	0.3	1	0.011
7	4.757	2	0.707	0.2	0.95	0.3	1	0.013
8	4.758	2	0.707	0.2	0.95	0.3	1	0.018
9	4.761	2	0.707	0.2	0.95	0.3	1	0.018
10	4.774	2	0.707	0.2	0.95	0.3	1	0.024
11	4.768	2	0.707	0.2	0.95	0.3	1	0.024
12	4.774	2	0.707	0.2	0.95	0.3	1	0.031
13	4.773	2	0.707	0.2	0.95	0.3	1	0.032
14	4.775	2	0.707	0.2	0.95	0.3	1	0.042
15	4.774	2	0.707	0.2	0.95	0.3	1	0.058
16	4.774	2	0.707	0.2	0.95	0.3	1	0.06
17	4.774	2	0.707	0.2	0.95	0.3	1	0.076
18	4.774	2	0.707	0.2	0.95	0.3	1	0.091
19	4.774	2	0.707	0.2	0.95	0.3	1	0.105
20	4.774	2	0.707	0.2	0.95	0.3	1	0.141
0	0.705	2	0.707	0.3	0.95	0.3	1	0.009
1	2.193	2	0.707	0.3	0.95	0.3	1	0.014
2	3.722	2	0.707	0.3	0.95	0.3	1	0.013
3	4.491	2	0.707	0.3	0.95	0.3	1	0.013
4	4.856	2	0.707	0.3	0.95	0.3	1	0.01
5	4.909	2	0.707	0.3	0.95	0.3	1	0.01
6	4.923	2	0.707	0.3	0.95	0.3	1	0.012
7	4.948	2	0.707	0.3	0.95	0.3	1	0.012
8	4.947	2	0.707	0.3	0.95	0.3	1	0.015
9	4.957	2	0.707	0.3	0.95	0.3	1	0.015
10	4.97	2	0.707	0.3	0.95	0.3	1	0.017
11	4.966	2	0.707	0.3	0.95	0.3	1	0.022
12	4.975	2	0.707	0.3	0.95	0.3	1	0.026
13	4.973	2	0.707	0.3	0.95	0.3	1	0.031
14	4.972	2	0.707	0.3	0.95	0.3	1	0.042
15	4.972	2	0.707	0.3	0.95	0.3	1	0.057
16	4.972	2	0.707	0.3	0.95	0.3	1	0.059
17	4.972	2	0.707	0.3	0.95	0.3	1	0.072
18	4.973	2	0.707	0.3	0.95	0.3	1	0.087
19	4.973	2	0.707	0.3	0.95	0.3	1	0.12
20	4.973	2	0.707	0.3	0.95	0.3	1	0.152
0	0.669	2	0.707	0.4	0.95	0.3	1	0.013
1	2.116	2	0.707	0.4	0.95	0.3	1	0.01
2	3.654	2	0.707	0.4	0.95	0.3	1	0.013
3	4.318	2	0.707	0.4	0.95	0.3	1	0.013
4	4.761	2	0.707	0.4	0.95	0.3	1	0.013
5	4.878	2	0.707	0.4	0.95	0.3	1	0.014
6	4.877	2	0.707	0.4	0.95	0.3	1	0.015
7	4.917	2	0.707	0.4	0.95	0.3	1	0.017
8	4.91	2	0.707	0.4	0.95	0.3	1	0.014
9	4.937	2	0.707	0.4	0.95	0.3	1	0.019
10	4.942	2	0.707	0.4	0.95	0.3	1	0.022
11	4.943	2	0.707	0.4	0.95	0.3	1	0.026
12	4.942	2	0.707	0.4	0.95	0.3	1	0.03
13	4.944	2	0.707	0.4	0.95	0.3	1	0.033
14	4.939	2	0.707	0.4	0.95	0.3	1	0.039
15	4.939	2	0.707	0.4	0.95	0.3	1	0.055
16	4.938	2	0.707	0.4	0.95	0.3	1	0.066
17	4.938	2	0.707	0.4	0.95	0.3	1	0.08
18	4.938	2	0.707	0.4	0.95	0.3	1	0.108
19	4.938	2	0.707	0.4	0.95	0.3	1	0.115
20	4.938	2	0.707	0.4	0.95	0.3	1	0.146
0	0.632	2	0.707	0.5	0.95	0.3	1	0.009
1	2.035	2	0.707	0.5	0.95	0.3	1	0.009
2	3.463	2	0.707	0.5	0.95	0.3	1	0.011
3	4.096	2	0.707	0.5	0.95	0.3	1	0.011
4	4.58	2	0.707	0.5	0.95	0.3	1	0.014
5	4.772	2	0.707	0.5	0.95	0.3	1	0.012
6	4.777	2	0.707	0.5	0.95	0.3	1	0.012
7	4.853	2	0.707	0.5	0.95	0.3	1	0.016
8	4.83	2	0.707	0.5	0.95	0.3	1	0.013
9	4.868	2	0.707	0.5	0.95	0.3	1	0.017
10	4.847	2	0.707	0.5	0.95	0.3	1	0.024
11	4.846	2	0.707	0.5	0.95	0.3	1	0.024
12	4.847	2	0.707	0.5	0.95	0.3	1	0.031
13	4.847	2	0.707	0.5	0.95	0.3	1	0.031
14	4.848	2	0.707	0.5	0.95	0.3	1	0.043
15	4.847	2	0.707	0.5	0.95	0.3	1	0.06
16	4.848	2	0.707	0.5	0.95	0.3	1	0.067
17	4.848	2	0.707	0.5	0.95	0.3	1	0.083
18	4.848	2	0.707	0.5	0.95	0.3	1	0.097
19	4.848	2	0.707	0.5	0.95	0.3	1	0.121
20	4.848	2	0.707	0.5	0.95	0.3	1	0.155
0	0.599	2	0.707	0.6	0.95	0.3	1	0.013
1	1.977	2	0.707	0.6	0.95	0.3	1	0.009
2	3.283	2	0.707	0.6	0.95	0.3	1	0.011
3	3.871	2	0.707	0.6	0.95	0.3	1	0.01
4	4.373	2	0.707	0.6	0.95	0.3	1	0.013
5	4.545	2	0.707	0.6	0.95	0.3	1	0.012
6	4.595	2	0.707	0.6	0.95	0.3	1	0.016
7	4.698	2	0.707	0.6	0.95	0.3	1	0.024
