Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10
0	0.313	3	0.707	0	1.28	0.6	1.1	0.9	0.038
1	1.577	3	0.707	0	1.28	0.6	1.1	0.9	0.027
2	3.402	3	0.707	0	1.28	0.6	1.1	0.9	0.023
3	4.984	3	0.707	0	1.28	0.6	1.1	0.9	0.026
4	5.674	3	0.707	0	1.28	0.6	1.1	0.9	0.044
5	5.94	3	0.707	0	1.28	0.6	1.1	0.9	0.062
6	6.191	3	0.707	0	1.28	0.6	1.1	0.9	0.118
7	6.306	3	0.707	0	1.28	0.6	1.1	0.9	0.235
8	6.372	3	0.707	0	1.28	0.6	1.1	0.9	0.413
9	6.42	3	0.707	0	1.28	0.6	1.1	0.9	1
10	6.447	3	0.707	0	1.28	0.6	1.1	0.9	2.268
11	6.456	3	0.707	0	1.28	0.6	1.1	0.9	4.724
12	6.461	3	0.707	0	1.28	0.6	1.1	0.9	9.773
13	6.46	3	0.707	0	1.28	0.6	1.1	0.9	13.646
14	6.461	3	0.707	0	1.28	0.6	1.1	0.9	28.075
15	6.462	3	0.707	0	1.28	0.6	1.1	0.9	42.04
16	6.463	3	0.707	0	1.28	0.6	1.1	0.9	42.551
17	6.467	3	0.707	0	1.28	0.6	1.1	0.9	42.112
18	6.466	3	0.707	0	1.28	0.6	1.1	0.9	42.58
19	6.466	3	0.707	0	1.28	0.6	1.1	0.9	42.888
20	6.466	3	0.707	0	1.28	0.6	1.1	0.9	42.347
0	0.288	3	0.707	0.4	1.28	0.6	1.1	0.9	0.023
1	1.654	3	0.707	0.4	1.28	0.6	1.1	0.9	0.024
2	3.722	3	0.707	0.4	1.28	0.6	1.1	0.9	0.023
3	6.403	3	0.707	0.4	1.28	0.6	1.1	0.9	0.026
4	8.095	3	0.707	0.4	1.28	0.6	1.1	0.9	0.039
5	9.181	3	0.707	0.4	1.28	0.6	1.1	0.9	0.057
6	9.544	3	0.707	0.4	1.28	0.6	1.1	0.9	0.121
7	9.766	3	0.707	0.4	1.28	0.6	1.1	0.9	0.243
8	9.819	3	0.707	0.4	1.28	0.6	1.1	0.9	0.538
9	9.939	3	0.707	0.4	1.28	0.6	1.1	0.9	1.093
10	9.925	3	0.707	0.4	1.28	0.6	1.1	0.9	2.309
