Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8
0	0.5	2	0.71	0	0.969	1	0.013
1	1.699	2	0.71	0	0.969	1	0.011
2	2.946	2	0.71	0	0.969	1	0.014
3	3.646	2	0.71	0	0.969	1	0.014
4	4.149	2	0.71	0	0.969	1	0.015
5	4.168	2	0.71	0	0.969	1	0.015
6	4.248	2	0.71	0	0.969	1	0.016
7	4.282	2	0.71	0	0.969	1	0.016
8	4.296	2	0.71	0	0.969	1	0.013
9	4.303	2	0.71	0	0.969	1	0.016
10	4.305	2	0.71	0	0.969	1	0.019
11	4.306	2	0.71	0	0.969	1	0.021
12	4.306	2	0.71	0	0.969	1	0.025
13	4.306	2	0.71	0	0.969	1	0.034
14	4.306	2	0.71	0	0.969	1	0.044
15	4.306	2	0.71	0	0.969	1	0.051
16	4.306	2	0.71	0	0.969	1	0.06
17	4.306	2	0.71	0	0.969	1	0.076
18	4.306	2	0.71	0	0.969	1	0.092
19	4.306	2	0.71	0	0.969	1	0.115
20	4.306	2	0.71	0	0.969	1	0.142
0	0.48	2	0.71	0.2	0.969	1	0.009
1	1.725	2	0.71	0.2	0.969	1	0.008
2	3.325	2	0.71	0.2	0.969	1	0.009
3	4.459	2	0.71	0.2	0.969	1	0.009
4	5.071	2	0.71	0.2	0.969	1	0.009
5	5.27	2	0.71	0.2	0.969	1	0.009
6	5.431	2	0.71	0.2	0.969	1	0.01
7	5.516	2	0.71	0.2	0.969	1	0.011
8	5.522	2	0.71	0.2	0.969	1	0.014
9	5.532	2	0.71	0.2	0.969	1	0.014
10	5.551	2	0.71	0.2	0.969	1	0.016
11	5.557	2	0.71	0.2	0.969	1	0.02
12	5.567	2	0.71	0.2	0.969	1	0.025
13	5.567	2	0.71	0.2	0.969	1	0.032
14	5.57	2	0.71	0.2	0.969	1	0.037
15	5.571	2	0.71	0.2	0.969	1	0.044
16	5.571	2	0.71	0.2	0.969	1	0.052
17	5.571	2	0.71	0.2	0.969	1	0.068
18	5.571	2	0.71	0.2	0.969	1	0.098
19	5.571	2	0.71	0.2	0.969	1	0.094
20	5.571	2	0.71	0.2	0.969	1	0.122
0	0.436	2	0.71	0.4	0.969	1	0.009
1	1.629	2	0.71	0.4	0.969	1	0.008
2	3.254	2	0.71	0.4	0.969	1	0.009
3	4.278	2	0.71	0.4	0.969	1	0.009
4	5.102	2	0.71	0.4	0.969	1	0.009
5	5.475	2	0.71	0.4	0.969	1	0.01
6	5.649	2	0.71	0.4	0.969	1	0.014
7	5.766	2	0.71	0.4	0.969	1	0.015
8	5.793	2	0.71	0.4	0.969	1	0.016
9	5.835	2	0.71	0.4	0.969	1	0.017
10	5.848	2	0.71	0.4	0.969	1	0.021
11	5.858	2	0.71	0.4	0.969	1	0.025
12	5.858	2	0.71	0.4	0.969	1	0.023
13	5.86	2	0.71	0.4	0.969	1	0.029
14	5.855	2	0.71	0.4	0.969	1	0.036
15	5.855	2	0.71	0.4	0.969	1	0.044
16	5.856	2	0.71	0.4	0.969	1	0.056
17	5.856	2	0.71	0.4	0.969	1	0.064
18	5.856	2	0.71	0.4	0.969	1	0.093
19	5.856	2	0.71	0.4	0.969	1	0.093
20	5.856	2	0.71	0.4	0.969	1	0.118
0	0.392	2	0.71	0.6	0.969	1	0.011
1	1.539	2	0.71	0.6	0.969	1	0.011
2	2.941	2	0.71	0.6	0.969	1	0.011
3	3.873	2	0.71	0.6	0.969	1	0.011
4	4.687	2	0.71	0.6	0.969	1	0.011
5	5.127	2	0.71	0.6	0.969	1	0.011
6	5.292	2	0.71	0.6	0.969	1	0.01
7	5.436	2	0.71	0.6	0.969	1	0.011
8	5.442	2	0.71	0.6	0.969	1	0.012
9	5.484	2	0.71	0.6	0.969	1	0.014
10	5.476	2	0.71	0.6	0.969	1	0.022
11	5.49	2	0.71	0.6	0.969	1	0.019
12	5.492	2	0.71	0.6	0.969	1	0.03
13	5.491	2	0.71	0.6	0.969	1	0.031
14	5.489	2	0.71	0.6	0.969	1	0.037
15	5.489	2	0.71	0.6	0.969	1	0.052
16	5.489	2	0.71	0.6	0.969	1	0.061
17	5.489	2	0.71	0.6	0.969	1	0.068
18	5.489	2	0.71	0.6	0.969	1	0.084
19	5.489	2	0.71	0.6	0.969	1	0.105
20	5.489	2	0.71	0.6	0.969	1	0.127
0	0.356	2	0.71	0.8	0.969	1	0.009
1	1.426	2	0.71	0.8	0.969	1	0.008
2	2.662	2	0.71	0.8	0.969	1	0.009
3	3.586	2	0.71	0.8	0.969	1	0.009
4	4.371	2	0.71	0.8	0.969	1	0.011
5	4.708	2	0.71	0.8	0.969	1	0.012
6	4.832	2	0.71	0.8	0.969	1	0.012
7	5.004	2	0.71	0.8	0.969	1	0.011
8	4.913	2	0.71	0.8	0.969	1	0.013
9	4.952	2	0.71	0.8	0.969	1	0.014
10	4.975	2	0.71	0.8	0.969	1	0.017
11	4.98	2	0.71	0.8	0.969	1	0.02
12	4.994	2	0.71	0.8	0.969	1	0.024
13	4.983	2	0.71	0.8	0.969	1	0.039
14	4.984	2	0.71	0.8	0.969	1	0.039
15	4.983	2	0.71	0.8	0.969	1	0.05
16	4.984	2	0.71	0.8	0.969	1	0.059
17	4.983	2	0.71	0.8	0.969	1	0.069
18	4.984	2	0.71	0.8	0.969	1	0.079
19	4.984	2	0.71	0.8	0.969	1	0.096
20	4.984	2	0.71	0.8	0.969	1	0.126
0	0.33	2	0.71	1	0.969	1	0.009
1	1.097	2	0.71	1	0.969	1	0.008
2	1.916	2	0.71	1	0.969	1	0.009
3	2.687	2	0.71	1	0.969	1	0.009
4	3.253	2	0.71	1	0.969	1	0.009
5	3.664	2	0.71	1	0.969	1	0.01
6	3.893	2	0.71	1	0.969	1	0.01
7	3.995	2	0.71	1	0.969	1	0.012
8	4.023	2	0.71	1	0.969	1	0.013
9	4.05	2	0.71	1	0.969	1	0.017
10	4.046	2	0.71	1	0.969	1	0.021
11	4.052	2	0.71	1	0.969	1	0.022
12	4.055	2	0.71	1	0.969	1	0.026
13	4.054	2	0.71	1	0.969	1	0.032
14	4.054	2	0.71	1	0.969	1	0.042
15	4.055	2	0.71	1	0.969	1	0.044
16	4.054	2	0.71	1	0.969	1	0.069
